index,need,cpu,graphicard,hardisk,ram,screen
57,I want a quick and easy to setp up computer. ,1,3,4,4,2
58,I am searching for a new laptop with good dictation feature. ,1,3,4,4,2
59,I am looking for a light laptop. ,1,3,4,4,2
60,I need a fast laptop with a good screen. ,1,3,4,4,2
61,I want a beautiful laptop. ,1,3,4,4,2
62,I wish for a fast laptop. ,1,3,4,4,2
63,I want a slim laptop with a nice size screen. ,1,3,4,4,2
64,I am looking for a laptop with a good build quality. ,1,3,4,4,2
65,I like to have a laptop with good battery life.,1,3,4,4,2
66,I would like to buy a great graphics laptop to my kids. ,1,3,4,4,2
67,I want my laptop to have a good touch keyboard. ,1,3,4,4,2
68,I am looking for a laptop that has a nice screen. ,1,3,4,4,2
69,A fast and lightweight laptop is what I am looking for. ,1,3,4,4,2
70,I want a fast and light laptop with a great resolution. ,1,3,4,4,2
71,I need a large screen size laptop that is easy to set up. ,1,3,4,4,2
72,"I wanted to buy a lightweight laptop for my wife. She likes that it is easy to use and runs quickly. In addition, she would like it to have a good keyboard design.",1,3,4,4,2
73,I am looking for a laptop with a good quality screen and high brightness.,1,3,4,4,2
74,I want a fast and responsive laptop. ,1,3,4,4,2
75,I need a laptop with efficient battery life. ,1,3,4,4,2
76,I am looking for a light and quiet laptop for work. ,1,3,4,4,2
77,"I want to buy a new laptop for my wife which should have good screen quality, touch screen, and battery life.",1,3,4,4,2
78,I am looking for a laptop with great battery life and screen quality. ,1,3,4,4,2
79,I want to buy a fast and lightweight laptop. It needed to have a good battery life and size screen too.,1,3,4,4,2
80,I want to buy a nice laptop with a good screen. ,1,3,4,4,2
81,I need to buy a laptop with a good screen quality. ,1,3,4,4,2
82,I am looking for a portable and lightweight laptop. ,1,3,4,4,2
83,I want to buy a lightweight and easy to use laptop. ,1,3,4,4,2
84,I want to buy a fast and good looking laptop for my son. ,1,3,4,4,2
85,I need a fast laptop. ,1,3,4,4,2
86,I need a lightweight laptop. ,1,3,4,4,2
87,I want a light laptop with loud volume and good sound quality. ,1,3,4,4,2
88,I am looking for a fast laptop for studying. ,1,3,4,4,2
89,I need a lightweight PC that has long battery life. ,1,3,4,4,2
90,I am searching for a fast laptop. ,1,3,4,4,2
91,I like a lightweight computer. Even better it can be set up easily and has a long battery life.,1,3,4,4,2
92,I like to buy a lightweight laptop with a long battery life. ,1,3,4,4,2
93,I want a light computer with a fast processor. ,1,3,4,4,2
94,I need a laptop with a nice quality and responsive touch screen. ,1,3,4,4,2
95,I want to buy a laptop with good screen quality. ,1,3,4,4,2
96,I want a slim laptop which has a good wireless connection and convenient port design. ,1,3,4,4,2
97,I am looking for a realiable and fast PC. ,1,3,4,4,2
98,I want to buy a easy to set up laptop with great functionality. ,1,3,4,4,2
99,"I am looking for a good performing laptop with a nice screen and a large keyboard. I also want it to be light, sturdy and have decent sound.",1,3,4,4,2
100,I decide to buy a upgradable laptop with a great screen and multiple ports. ,1,3,4,4,2
101,I will buy a fast and lightweight laptop.,1,3,4,4,2
102,I was hoping to get a expandable lightweight laptop with a great slim design. ,1,3,4,4,2
103,I need a lightweight and thin laptop with a big screen. ,1,3,4,4,2
104,I want to buy a laptop that has a good picture and grip type coding keys. ,1,3,4,4,2
105,I am looking for a easy to use and upgradable laptop that runs fast and have good storage. ,1,3,4,4,2
106,I will buy a smooth and easy to use laptop. ,1,3,4,4,2
107,I need a slim and lightweight laptop. It should run fast and have big screen. ,1,3,4,4,2
108,I want to buy a laptop with a bright screen and a nice keyboard. ,1,3,4,4,2
109,"I want a laptop that is easy to set up and upgrade, that has multiple plots and runs quickly and smoothly. It should have a decent display and sound quality, with a good keyboard and a nice size trackpad.",1,3,4,4,2
110,"I am looking for a light and portable laptop with a long battery life, a sharp and bright screen, and a good keyboard. ",1,3,4,4,2
111,I will buy a laptop with long battery life. ,1,3,4,4,2
112,I decide to buy a solid and lightweight laptop that boots up quickly and has a great screen. ,1,3,4,4,2
113,"I wanted a powerful, portable laptop with a chic, simple design and the right size. ",1,3,4,4,2
114,I prefer a reliable laptop that is easy to use and easy to set up. ,1,3,4,4,2
115,I want a upgradable laptop with a nice and large display.,1,3,4,4,2
116,I need a easy to upgrade laptop. ,1,3,4,4,2
117,I want a vibrant and upgradeable laptop with a nice and bright IPS panel and glossy coating. It should also be easy to open.,1,3,4,4,2
118,I am looking for a laptop that powers on quickly. It should have a nice screen and a decent battery. ,1,3,4,4,2
119,I need a quick and responsive laptop for work with good build quality. ,1,3,4,4,2
120,I need a portable and upgradable laptop that has amazing speed and versatility. ,1,3,4,4,2
121,I will buy a capable and upgradable laptop. It should run fast and have multiple ports and a good keyboard.,1,3,4,4,2
122,I want a easy to use laptop. ,1,3,4,4,2
123,I need a laptop that start up fast. ,1,3,4,4,2
124,"I am looking for a fast, thin and light laptop with multiple ports. It should also have a good speaker, a responsive touchpad and a keyboard with a numeric keypad.",1,3,4,4,2
125,I need a snappy laptop for work with a good screen quality and size. ,1,3,4,4,2
126,I decide to buy a slim and pretty laptop which is upgradable. ,1,3,4,4,2
127,I am looking for a easy to set up and upgradable laptop that runs fast and smooth. I want it to have a good display and sound quality with plenty of ports and a good keyboard and trackpad. ,1,3,4,4,2
128,"I wanted a quiet, fast-running laptop that had plenty of ports and a great screen.",1,3,4,4,2
129,I prefer a fast and light laptop with a big and bright screen. ,1,3,4,4,2
130,I want a fast and smooth laptop. ,1,3,4,4,2
131,"I am searching for a sleek and light laptop that quick and easy to set up. It would great if it is expandable and have a small adapter, a spacious keyboard and a good battery life. ",1,3,4,4,2
132,I am looking for a light and slim laptop that is upgradable and have decent battery life. ,1,3,4,4,2
133,I need a fast computer. ,1,3,4,4,2
134,I will buy a laptop that runs smooth and quick. ,1,3,4,4,2
135,I like a easy to set up computer. ,1,3,4,4,2
136,I want a easy to use laptop with a good colours. ,1,3,4,4,2
137,I will buy a laptop with long battery life. ,1,3,4,4,2
138,I need a laptop that can boot up quickly.,1,3,4,4,2
139,I prefer a laptop with fast installation. ,1,3,4,4,2
140,I am looking for a fast and light laptop with every connection needed. ,1,3,4,4,2
141,I need a rugged laptop that starts up fast and has a good battery life. ,1,3,4,4,2
142,I want a light laptop that have good colour and easy to clean. ,1,3,4,4,2
143,I decide to buy a expandable laptop that is easy to set up. ,1,3,4,4,2
144,I want to buy a laptop with good screen quality and a easy to type keyboard. ,1,3,4,4,2
145,I like a laptop that can self-install and has a ultra-fast wireless speed.,1,3,4,4,2
146,I want a fast-running laptop with a decent weight. ,1,3,4,4,2
147,I need a fast and easy to set up laptop that has a smooth keyboard and good screen resolution. ,1,3,4,4,2
148,I want a fast laptop with a good quality screen. ,1,3,4,4,2
149,I would like to buy a new laptop that is easy to set up and have smooth transition. ,1,3,4,4,2
150,I want a slim and sleek laptop. ,1,3,4,4,2
151,I want to buy a solid and little laptop. ,1,3,4,4,2
152,I wanted to buy a lightweight laptop that runs cool. ,1,3,4,4,2
153,I need to buy a compact and fast laptop to get work done efficiently. ,1,3,4,4,2
154,I am looking for a fast and easy to carry laptop that is comfortable to use. ,1,3,4,4,2
155,I am looking for a fast and easy to carry laptop that is comfortable to use. ,1,3,4,4,2
156,I want a fast and good looking laptop with a good keyboard design. ,1,3,4,4,2
157,I prefer a thin laptop with a good display. ,1,3,4,4,2
158,I love laptop that have extra sata and ram slots and can open casing easily. ,1,3,4,4,2
159,"I decided to buy an easily upgradable laptop with good screen brightness, audio quality and a touchpad.",1,3,4,4,2
160,I need a laptop with a long battery life. ,1,3,4,4,2
161,I want a laptop with multiple ports and a good screen and keyboard for basic photo editing. It would be nice if the laptop had good looks and performance without bloatware.,1,0,2,1,2
162,I am looking for a computer for gaming that has a good keyboard and graphics quality. It should have good battery life and support multitasking.,1,0,2,1,2
163,I need a laptop that runs smoothly and has a long battery life for gaming.,1,0,2,1,2
164,I was searching for a laptop that was perfect for gaming and that would run smoothly at maximum graphics settings.,1,0,2,1,2
165,I wish I had a super fast gaming computer.,1,0,2,1,2
166,"I need a light weight laptop with good battery life for school and casual gaming. It should have multiple ports, a high quality webcam and keyboard.",1,0,2,1,2
167,"I want a laptop that can meet all my gaming needs, with high resolution and stable FPS.",1,0,2,1,2
168,I want a computer with great build performance. ,1,0,2,1,2
169,I want a laptop that can boot up quickly.,1,0,2,1,2
170,I wish to have a computer with high performance and low heat generation.,1,0,2,1,2
171,I am searching for a computer with good display for my son. ,1,0,2,1,2
172,"I want a solid, fast-booting, well-running laptop. ",1,0,2,1,2
173,I need a solid laptop with high download speeds. ,1,0,2,1,2
174,I am looking for a laptop that can be booted up quickly and has an amazing display.,1,0,2,1,2
175,"I need laptops with high resolution screens, seamless program operation, plug-in options, and soft touch keys. ",1,0,2,1,2
176,I need a computer that starts up quickly and runs smoothly.,1,0,2,1,2
177,"I'm looking for a laptop with a decent size, high resolution display that's clear and bright. Its sound should be high-quality, with crisp keyboards, a responsive touchpad, plenty of ports, and a built-in cooler.",1,0,2,1,2
178,I want a computer with high graphics settings. ,1,0,2,1,2
179,I want to buy a slim laptop with open slots. ,1,0,2,1,2
180,I am looking for a laptop for my son that is easy to set up and has a cool design.,1,0,2,1,2
181,I want to buy a laptop with a long battery life for gaming. ,1,0,2,1,2
182,I would like to have a durable computer with multiple ports and a good display.,1,0,2,1,2
183,I want a solid laptop. ,1,0,2,1,2
184,I want a computer that is fast and easy to set up. ,1,0,2,1,2
185,"I need a computer that has a great graphics card, has its own key to performance and CPU temperature, a fast SSD, a slick keyboard, and good battery life.",1,0,2,1,2
186,I am looking for a nice laptop that is not so heavy and has plenty of SSD.,1,0,2,1,2
187,I need a computer that runs fast. ,1,0,2,1,2
188,I would like to buy a laptop with a high quality screen. ,1,0,2,1,2
189,I want a computer that runs smoothly and has a good connection. It should have a bright screen and a good backlit keyboard.,1,0,2,1,2
190,I am looking for a fast laptop with excellent display and audio. A comfortable keyboard and the perfect screen size would be great.,1,0,2,1,2
191,I wish for a computer with stable battery quality. ,1,0,2,1,2
192,I am searching for a computer with a nice screen and battery life for my fiance.,1,0,2,1,2
193,I like a computer that runs well and has a nice backlit keyboard.,1,0,2,1,2
194,I am looking for a good memory laptop for my son.,1,0,2,1,2
195,I like a computer that runs smoothly. ,1,0,2,1,2
196,"I want a laptop with good response time, boot time, number crunching and gaming speed. ",1,0,2,1,2
197,I hope that I could have a smooth-running computer. ,1,0,2,1,2
198,I will buy a laptop with good gaming quality. ,1,0,2,1,2
199,I am looking for a computer with great graphics quality. ,1,0,2,1,2
200,I like to buy a computer which runs smooth.,1,0,2,1,2
201,I want a fast computer. ,1,0,2,1,2
202,I would like a gaming laptop that run fast. ,1,0,2,1,2
203,I wanted a computer with precise touchpad and mouse controls and low power consumption.,1,0,2,1,2
204,I would like to buy a gaming laptop with high performance. ,1,0,2,1,2
205,I want a nice designed laptop with great graphics that run fast. It should be easy to carry around. ,1,0,2,1,2
206,"I would like a responsive, smooth-running computer, and it would be nice to have a nice screen and look.",1,0,2,1,2
207,I would like to buy a portable laptop which is well designed. ,1,0,2,1,2
208,I want a gaming laptop that runs great. ,1,0,2,1,2
209,I want a well performing and robust computer. ,1,0,2,1,2
210,I am looking for a fast gaming laptop. ,1,0,2,1,2
211,I would like to have a computer with a backlit keyboard.,1,0,2,1,2
212,I want to buy a fast computer for my wife for gaming. ,1,0,2,1,2
213,I am searching for a fast laptop. ,1,0,2,1,2
214,I want a smooth-running gaming laptop. ,1,0,2,1,2
215,I wish for a computer with excellent screen quality and multiple ports for gaming. ,1,0,2,1,2
216,I am looking for a laptop that will run smoothly for school and gaming.,1,0,2,1,2
217,"I would like a computer that has a good CPU, stays cool and has a stable battery life. It should have a good keyboard and screen. ",1,0,2,1,2
218,I am looking for a great cool laptop for my son's Christmas present.,1,0,2,1,2
219,I like lightweight laptops.,1,0,2,1,2
220,I want a laptop with a long battery life and a nice keyboard.,1,0,2,1,2
221,I like a sturdy computer.,1,0,2,1,2
222,I want a responsive computer for work. A keyboard with backlighting would be nice.,1,0,2,1,2
223,A fantastic screen and a comfortable keyboard is what I want in a laptop.,1,0,2,1,2
224,"I want a fast and quiet laptop so that I can use it next to my sleeping children. It should be slick, have a long battery life and multiple ports.",1,0,2,1,2
225,I am looking for a easy setup computer for my daughter. ,1,0,2,1,2
226,I want a computer that runs fast and without a backlight. ,1,0,2,1,2
227,I wish I had a laptop that was perfect in terms of graphics and display and had a long battery life.,1,0,2,1,2
228,"I wanted a fast, smooth and clear graphic with a bright screen for gaming on the computer.",1,0,2,1,2
229,"My grandson needs a fast, smooth laptop for gaming.",1,0,2,1,2
230,I love a computer with a backlit keyboard. ,1,0,2,1,2
231,I am looking for a laptop with amazing graphics for my girlfriend. ,1,0,2,1,2
232,We were looking for a computer with good scalability and easier migration from an old laptop.,1,0,2,1,2
233,I want to buy fast laptops with good picture quality for my children.,1,0,2,1,2
234,I am looking for a fast and smooth laptop. ,1,0,2,1,2
235,I want a laptop with good screen quality and power performance. ,1,0,2,1,2
236,I want a solid laptop. ,1,0,2,1,2
237,I need a fast computer. ,1,0,2,1,2
238,I want a easily accessible and scalable computer. ,1,0,2,1,2
239,I like to have a fast charging laptop that runs fast and has a high quality screen.,1,0,2,1,2
240,I am looking for a computer with good quality graphics and long battery life.,1,0,2,1,2
241,"I would like to buy a laptop with a sleek look, advanced hardware and high capacity.",1,0,2,1,2
242,I am looking for a computer with good cooling system. ,1,0,2,1,2
243,What I am looking for is a laptop with solid build quality.,1,0,2,1,2
244,I am looking for a nice looking laptop with a nice and slick keyboard that is not heavy.,1,0,2,1,2
245,"I need a computer with decent battery life. It would be nice if it booted quickly, had extra slots and very little bloatware. ",1,0,2,1,2
246,"I want a powerful, portable laptop. It should have a good display, a good keyboard and touchpad, a compact design and plenty of upgradeability.",1,0,2,1,2
247,I wish I had a fast computer.,1,0,2,1,2
248,I want a fast laptop. ,1,0,2,1,2
249,I am looking for a fast computer. ,1,0,2,1,2
250,I want the laptop to run fast in the game.,1,0,2,1,2
251,I would like to have a computer with a long enough battery life.,1,0,2,1,2
252,My son wants a laptop with a good quality screen and a keyboard with backlighting.,1,0,2,1,2
253,I wanted a fairly fast and smooth laptop.,1,0,2,1,2
254,I am looking for a gaming laptop with a fast SSD and a good fan system.,1,0,2,1,2
255,I want a computer that is fast on graphics and wifi.,1,0,2,1,2
256,I am looking for a laptop with a good quality screen and stable FPS. It should have a great cooling system and user interface.,1,0,2,1,2
257,My sister needs a laptop with good battery life.,1,0,2,1,2
258,"I wanted the perfect computer with smooth graphics, vibrant colours and decent sound.",1,0,2,1,2
259,"I like to get a computer that is not bulky, runs fast in games and is easy to use.",1,0,2,1,2
260,I am searching for a laptop with amazing graphics and speed. ,1,0,2,1,2
261,I want a laptop to have good screen quality. ,1,0,2,1,2
262,I am looking for a laptop that runs fast. ,1,0,2,1,2
263,I wanted a fast computer that was easy to set up and had plenty of connections.,1,0,2,1,2
264,I wanted a fast and solid laptop that could be upgraded and was of high quality.,1,0,2,1,2
265,I am looking for a laptop that runs fast. ,1,0,2,1,2
266,I would like the computer to have a nice keyboard with backlighting.,1,0,2,1,2
267,I want my laptop to runs smooth. ,1,0,2,1,2
268,I need high speed on my computer.,1,0,2,1,2
269,I want to buy a fast and good looking laptop for my grandson. ,1,0,2,1,2
270,I like the idea of getting a good quality laptop that runs fast.,1,0,2,1,2
271,I need a good looking laptop with nice screen quality. ,1,0,2,1,2
272,I want a smooth-running gaming laptop. ,1,0,2,1,2
273,I like the laptop to run smoothly.,1,0,2,1,2
274,I am looking for a quick start and download for my laptop.,1,0,2,1,2
275,I wanted a computer that was scalable and could run very fast.,1,0,2,1,2
276,I need a computer run well in programmes and games. ,1,0,2,1,2
277,I want my laptop to look cool and have a super clear screen. It should run well and have cool keyboard lights.,1,0,2,1,2
278,My computer should have good CPU and GPU. It would be nice to have multiple ports and upgradable memory. ,1,0,2,1,2
279,I want my PC to include a boot drive.,1,0,2,1,2
280,I need a laptop with no lag. ,1,0,2,1,2
281,I want a light laptop. ,1,0,2,1,2
282,I like upgradeable computers.,1,0,2,1,2
283,I need a computer with high quality. ,1,0,2,1,2
284,I need a laptop with no lag. ,1,0,2,1,2
285,I like to buy a quiet laptop with a computer keyboard that has lights and a good design look.,1,0,2,1,2
286,I need a laptop with good battery life.,1,0,2,1,2
287,I am searching for a laptop that easy to set up. ,1,0,2,1,2
288,I want a computer with good system. ,1,0,2,1,2
289,I want my computer to run quickly and quietly and have a great graphical display.,1,0,2,1,2
290,It would be great if I had an expandable laptop.,1,0,2,1,2
291,I would like to buy a smooth-running computer with lite-up keyboard. ,1,0,2,1,2
292,"I wanted a slim, good-looking laptop with perfect screen quality.",1,0,2,1,2
293,I like a fast loading computer.,1,0,2,1,2
294,I need a good display computer for gaming. It would be nice to have upgradable memory and drives.,1,0,2,1,2
295,I want a computer with easily upgradable memory.,1,0,2,1,2
296,I need a fast laptop with beautiful graphics.,1,0,2,1,2
297,I want a high quality laptop that was easy to set up.,1,0,2,1,2
298,I want my laptop keyboard to be clean and comfortable in use. ,1,0,2,1,2
299,I am looking for a fast and expandable laptop. ,1,0,2,1,2
300,I want to buy a high quality computer that runs smoothly in games.,1,0,2,1,2
301,I need a good graphics laptop.,1,0,2,1,2
302,I want my computer to run quickly. ,1,0,2,1,2
303,I want a powerful computer. ,1,0,2,1,2
304,I want to buy a good quality laptop for my son. ,1,0,2,1,2
305,I want a computer that runs fast and smooth. ,1,0,2,1,2
306,My son needs an easy to set up laptop with a nice backlit keyboard.,1,0,2,1,2
307,I need a upgradable laptop. ,1,0,2,1,2
308,I need a computer with good frames for gaming. ,1,0,2,1,2
309,I want a good quality laptop which works smooth. ,1,0,2,1,2
310,I am looking for a laptop that runs smoothly and has a good keyboard backlight.,1,0,2,1,2
311,I want a smooth and responsive laptop with lovely graphics. ,1,0,2,1,2
312,I want a computer with powerful chip set and a clear screen. ,1,0,2,1,2
313,I need a laptop with good quality screen. ,1,0,2,1,2
314,I am looking for a powerful laptop that not too heavy. It should have nice lighting and performance. ,1,0,2,1,2
315,I want my computer to have amazing FPS. ,1,0,2,1,2
316,I want to buy a computer which runs great and have good graphics. ,1,0,2,1,2
317,I need a fast cooling computer. ,1,0,2,1,2
318,I want a speedy computer. ,1,0,2,1,2
319,I need a computer that is fast and have good graphics. ,1,0,2,1,2
320,I am looking for a laptop that runs fast. ,1,0,2,1,2
321,I want my laptop material to be good. ,1,0,2,1,2
322,I need a fast and smooth laptop. ,1,0,2,1,2
323,I am looking for a stylish laptop which is light and powerful. ,1,0,2,1,2
324,"I need a computer with incredible processor, RAM and graphic card. ",1,0,2,1,2
325,I am searching for a quick laptop which have good battery life. ,1,0,2,1,2
326,I want to buy a laptop that have a cool keyboard design. ,1,0,2,1,2
327,I wanted to buy a laptop with a beautiful design and great hardware.,1,0,2,1,2
328,I need a fast laptop. ,1,0,2,1,2
329,I want a fast computer. ,1,0,2,1,2
330,I wish for a solid and robust laptop. ,1,0,2,1,2
331,I am looking for a solid laptop with a good quality screen that is easy to upgrade.,1,0,2,1,2
332,I am looking for a fast computer that runs smooth and have a good display. ,1,0,2,1,2
333,"I'm looking for a fast, solid but lightweight laptop. It should be easy to set up and have decent graphics performance and long battery life. Having a well-designed case, screen and backlit keys would be nice.",1,0,2,1,2
334,I want a fast and good sized laptop. ,1,0,2,1,2
335,I need a computer with excellent build quality and keyboard. It should be upgradable. ,1,0,2,1,2
336,I want to buy a fast and upgradable computer that have responsive backlit keyboard and good built and design. ,1,0,2,1,2
337,"I wanted a fast, easy to set up laptop with a cool design and good screen brightness.",1,0,2,1,2
338,"I'm looking for a fast, upgradeable laptop with a good quality screen and lots of ports.",1,0,2,1,2
339,I would like to buy a small and light computer that have big keyboard and easy to manage. ,1,0,2,1,2
340,I need a computer that runs quickly and is easy to set up.,1,0,2,1,2
341,"I wanted a cool looking, fast and functional laptop with a bright and good colour screen.",1,0,2,1,2
342,"I am looking for a fast, lightweight computer with good connectivity options.",1,0,2,1,2
343,"I need a computer that is easy to set up, runs fast and has low temperatures. ",1,0,2,1,2
344,"A sleek laptop with good screen resolution and battery life is what I am looking for. If it can be easily upgraded, so much the better.",1,0,2,1,2
345,I need a laptop with good FPS and graphics. ,1,0,2,1,2
346,"I wanted a laptop for work that was fast, light and had multiple ports.",1,0,2,1,2
347,I would like a fast and smooth laptop.,1,0,2,1,2
348,I am looking for a computer with a backlit keyboard so that I can play games in a dimly lit room.,1,0,2,1,2
349,"I like a laptop that is smooth and fast, with good graphics and battery life.",1,0,2,1,2
350,"I prefer a stylish, good looking laptop with good video and audio quality.",1,0,2,1,2
351,"I desire a powerful, easily upgradable laptop that has a nice keyboard light.",1,0,2,1,2
352,I wanted an easy to upgrade laptop that had a good and stable screen display and could run cool.,1,0,2,1,2
353,"I need a fast laptop with a good cooling system, graphics and sound.",1,0,2,1,2
354,I would like to have a fast computer.,1,0,2,1,2
355,I want a computer with a nice screen. ,1,0,2,1,2
356,I want a durable computer for work. ,1,0,2,1,2
357,I need a computer that run smooth in games. ,1,0,2,1,2
358,I want a fast laptop which looks cool. ,1,0,2,1,2
359,I am looking for a lightweight laptop that runs fast and has few bloatware. ,1,0,2,1,2
360,"I prefer a laptop with great battery life, gaming performance and RAM. ",1,0,2,1,2
361,"I need a laptop with a bright, clear screen, a good keyboard and good volume speakers.",1,0,2,1,2
362,I want to buy a fast pc. ,1,0,2,1,2
363,I am looking for a laptop with amazing pixels. ,1,0,2,1,2
364,I will buy a laptop with upgradeable RAM. ,1,0,2,1,2
365,I need a laptop in a nice colour. ,1,0,2,1,2
366,I am searching for a portable laptop with no bloatware. ,1,0,2,1,2
367,I want a fast laptop. ,1,0,2,1,2
368,I want to buy a laptop with a clear image and fast refresh.,1,0,2,1,2
369,I am looking for a fast and slick laptop that runs with no lag and has a good battery.,1,0,2,1,2
370,"I would like to buy a repariable laptop, with a sleek and solid chassis, good speakers and a comfy keyboard. ",1,0,2,1,2
371,I wish for a fast and responsive laptop with a good build quality. It should have bright screen and a comfortable keyboard with a number pad and backlight.,1,0,2,1,2
372,"I want to buy a laptop with a sleek and fingerprint resistant chassis. It should have a good monitor that shows bright and sharp colours, excellent speakers and a good battery life. ",1,0,2,1,2
373,I want to buy a laptop for gaming with no delays.,1,0,2,1,2
374,I need a laptop with a good battery life. ,1,0,2,1,2
375,"I am looking for a well built portable laptop with good gaming performance. It should have good wifi connection, proper cooling and a nice keyboard. It would be great to have replaceable ram slots and easy to remove back cover. ",1,0,2,1,2
376,I want a sturdy laptop with good sound quality and a high refresh rate. I need it to have a large touchpad with a backlit keyboard with a numeric keypad.,1,0,2,1,2
377,I am looking for a quiet and lightweight laptop with amazing sound quality.,1,0,2,1,2
378,I am looking for a easy modify laptop with a good thermal control. ,1,0,2,1,2
379,I prefer a laptop that starts up and runs quickly and has good battery life.,1,0,2,1,2
380,"I am looking for a solid, well-designed laptop with good sound and cooling system. It should be easy to use, have a solid screen and casing. ",1,0,2,1,2
381,I want a stylish and sturdy designed laptop with a great graphics quality. It should be easy to use and easy to set up. ,1,0,2,1,2
382,I decided to buy a laptop with a good backlit keyboard and a smooth and accurate trackpad. It's nice to have a good selection of ports.,1,0,2,1,2
383,I want to buy a smooth-running laptop with a good physical design. It should have good airflow and a big touchpad. ,1,0,2,1,2
384,"I like a laptop with a backlit keyboard, long battery life and good build quality. It should also have a good graphics card and crisp display. ",1,0,2,1,2
385,I wish for a laptop with a good memory and a powerful CPU. ,1,0,2,1,2
386,I am looking for a laptop with good build quality and a screen.,1,1,1,1,1
387,I want a smooth-running laptop with good image quality and a responsive keyboard and touchpad. ,1,1,1,1,1
388,I am looking for a laptop with fast boots up and a nice screen. ,1,1,1,1,1
389,I want a responsive laptop with a solid case. ,1,1,1,1,1
390,I love a laptop with a good graphics quality. ,1,1,1,1,1
391,I wish for a solid laptop with a sharp screen and nice feeling keyboard. It is nice to have fans that easy to controll. ,1,1,1,1,1
